T. Perdido  D. Perdidas  D. Ruido  ID swap  nBalls  <20%  20%80%  >80% Recall Precision   MOTA   MOTP
3          61          156         3        2       3     0       1     2 83.65%    99.63% 83.12% 70.94%
3          61          158         3        2       3     0       1     2 83.44%    99.62% 82.91% 70.98%
3          62          160         3        2       3     0       1     2 83.23%    99.62% 82.70% 71.04%
3          62          161         3        2       3     0       1     2 83.12%    99.62% 82.60% 71.06%
3          62          162         3        2       3     0       1     2 83.02%    99.62% 82.49% 71.11%
3          62          162         3        2       3     0       1     2 83.02%    99.62% 82.49% 71.11%
3          62          164         3        2       3     0       1     2 82.81%    99.62% 82.29% 71.10%
3          62          165         3        2       3     0       1     2 82.70%    99.62% 82.18% 71.14%
3          62          168         3        2       3     0       1     2 82.39%    99.62% 81.87% 71.19%
3          62          171         3        2       3     0       1     2 82.08%    99.62% 81.55% 71.23%
3          62          171         3        2       3     0       1     2 82.08%    99.62% 81.55% 71.23%
3          62          172         3        2       3     0       1     2 81.97%    99.62% 81.45% 71.22%
3          62          174         3        2       3     0       1     2 81.76%    99.62% 81.24% 71.26%
3          63          176         3        2       3     0       1     2 81.55%    99.62% 81.03% 71.31%
3          63          178         3        2       3     0       1     2 81.34%    99.61% 80.82% 71.34%
3          64          180         3        2       3     0       1     2 81.13%    99.61% 80.61% 71.41%
